dataset,band,subject,condition,y,dR,dD,dlogM,dPi,d_theta_power,d_alpha_power,d_beta_power,d_gamma_power,d_alpha_gamma_ratio,d_spectral_entropy
DS005620,alpha,1024,sed,1,1.1713111317007696e-05,-0.0032783645864569166,-0.07110080120584605,0.04980842911877392,-0.15288676468753443,-0.025618367528155495,0.19311356321339482,-0.00937643623727571,10.952820062373721,-0.03673985678852587
DS005620,alpha,1024,sed2,1,0.0018044441986529158,-0.018861541978616003,-0.052140226861893346,0.014519056261342977,-0.14856693018718384,-0.04547292571345052,0.1611366566057906,-0.006992048332716935,7.27398945240914,-0.04390295523043586
DS005620,alpha,1033,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1033,sed,1,-0.23345273564427815,-0.20094996900070328,-0.1877037252912892,-0.5229885057471264,0.04948224365390523,-0.39357187995205956,0.030239084637633126,0.007858487675653539,-13.591302142078778,0.051297560557094446
DS005620,alpha,1033,sed2,1,-0.23380963398286636,-0.19816172783507824,-0.19373136998818774,-0.5234926396450896,0.07455893707292523,-0.33385698545187636,0.04886481814325842,-0.00933255245017653,6.189789086536663,0.07315190659857318
DS005620,alpha,1036,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1036,sed,1,0.06371796611408376,0.04553581970509413,-0.05373568513751703,0.02011494252873547,-0.18670474463573467,0.11487094122376174,0.021442639613038467,-0.010405903013388403,47.021467035815185,-0.06626609387392235
DS005620,alpha,1036,sed2,1,0.046186166384123595,0.012876876671882087,-0.06016526614825368,0.03206291591046584,-0.19430750375405703,-0.06759134540775416,-0.08254815622774819,-0.010722251994824569,7.916334986646245,-0.20502649236160086
DS005620,alpha,1037,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1045,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1045,sed,1,-0.27562356232646257,-0.2274390459939255,-0.0186615174751128,-0.5651340996168582,-0.13546434743585578,-0.19883501925851776,0.1071157636545821,-0.005878250104769722,7.257216133723155,-0.002358581192988818
DS005620,alpha,1045,sed2,1,-0.246365950711186,-0.1957628653696517,0.051377129257465626,-0.5264166162532768,-0.137461565750994,-0.21650975888676116,0.06122832268161989,0.0032711823105501907,5.75668304218118,-0.029371765348630507
DS005620,alpha,1046,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1046,sed,1,-0.046730173419512744,-0.05544361908880546,-0.11228799949265866,-0.02011494252873558,0.017028667550007287,-0.3855355661068508,0.0260069002030036,0.0008925275802921066,11.152532887168128,0.0081823295231358
DS005620,alpha,1046,sed2,1,-0.0614500396072829,-0.07304083348162038,-0.017272018559467917,0.014519056261342977,0.023650018657126765,-0.24661007039634536,0.0310516154759609,-0.0059319170661613855,32.750846085417955,0.041853493229608185
DS005620,alpha,1054,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1054,sed,1,-0.0044725039835945,0.009651217718399607,0.0898829256732192,1.1102230246251565e-16,-0.1456706291708625,-0.04624202503434016,0.04533602629018621,-0.02804982638279132,43.807084250908936,-0.05915012039849532
DS005620,alpha,1054,sed2,1,0.01185972730957019,0.02035768780579872,0.031748180782813495,0.04083484573502738,-0.15875396371663675,-0.11020562763618799,0.05772794783368135,-0.028347536796405372,30.72353842132862,-0.08787131689735828
DS005620,alpha,1055,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1055,sed,1,-0.1109205313094751,-0.12601561489423574,-0.11540504038252442,-0.25862068965517226,-0.028512224581504014,-0.3266195477295231,0.05275158051159243,-0.007980987572227647,-5.090899776284559,-0.04451919719561981
DS005620,alpha,1055,sed2,1,-0.09486359874399353,-0.11021641478083666,-0.03349673336479286,-0.16091954022988508,-0.04336142858201497,-0.30143027068746486,0.021687002574573594,-0.007768004706636626,-2.6554111220784407,-0.09148039230769756
DS005620,alpha,1057,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1057,sed,1,-0.08007068035992965,-0.11725368195743613,-0.2953205514199966,-0.23371647509578541,0.0022591380002054823,-0.4330966810715091,0.11164309645075979,-0.0012385845941219591,-62.11432873042073,0.025301245303166575
DS005620,alpha,1057,sed2,1,-0.06716753058422315,-0.08819174582693279,-0.2650966280157623,-0.2340189554345634,-0.01715641866891876,-0.5217600571953644,0.07583446536112542,-0.001071813232265995,-80.71016158590666,-0.06916846671266474
DS005620,alpha,1060,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1060,sed,1,0.014493631905146298,0.00448856060490499,0.015524816913356165,-0.007662835249042099,-0.034151093310865285,0.04383806381236338,0.05609418567684485,-0.1302933857172102,68.30807509101226,-0.12054492638444148
DS005620,alpha,1060,sed2,1,0.032063637896047936,0.02053118255035713,0.019841918082133425,0.002823149828594662,-0.020996442726188377,0.010830912788790559,-0.028658130058389103,-0.12995512815572619,67.46694966372581,-0.15392290721209678
DS005620,alpha,1061,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1061,sed,1,-0.09609953774466981,-0.009854058171420377,-0.14079939355151216,-0.15325670498084287,-0.0845287273745388,-0.18788811706591385,0.06610217588833293,-0.015622590496835585,44.84462456106678,-0.021510964143864997
DS005620,alpha,1061,sed2,1,-0.0445171320166971,-0.07140197358503286,-0.08534020267111275,-0.04103649929421249,-0.08733834106328438,-0.27647047627505983,0.04196136752876997,-0.015208805891643737,21.43484633000738,-0.07197243000091924
DS005620,alpha,1062,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1062,sed,1,-0.06365253286037248,-0.1033077962150557,-0.053569571036122365,-0.08812260536398475,-0.033546002247068496,-0.23751999851571412,0.048667659419503656,-0.028573917226239816,19.191511354987554,-0.07322220348989128
DS005620,alpha,1062,sed2,1,-0.06062484341321167,-0.08133678528647437,-0.12614403007195873,-0.08782012502520664,-0.035444922630323616,-0.2550002914419546,0.05370983534452642,-0.02890588942025274,16.807422063827158,-0.07772549892386127
DS005620,alpha,1064,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1064,sed,1,0.037760684142019996,0.10175153015601524,0.19514477380229822,-0.14750957854406122,-0.10173168608877427,0.06608255933803198,0.12974604033698323,-0.06301485350310233,27.21924128591726,-0.08070974178981793
DS005620,alpha,1064,sed2,1,0.05620268244843557,0.10776811849736134,0.25726923022898296,-0.20770316596087912,-0.07581401686019465,0.03324481262095258,0.03373446949326747,-0.0603334904506382,28.105909025806735,-0.11185936530199314
DS005620,alpha,1067,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1067,sed,1,0.004119430943135327,0.027623375678935247,-0.15925434105808733,0.08812260536398453,0.011318818865593203,0.17186778720799298,0.1929729929807944,-0.0016328578363652797,23.513292696353517,0.22771205616184997
DS005620,alpha,1067,sed2,1,0.02734136383181135,0.036640505596977846,-0.13138071076493585,0.11101028433151838,0.003083159147749842,0.0745394183074817,0.016429377000762184,-0.006240112603923046,32.55469251322888,0.05736248592567972
DS005620,alpha,1068,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1068,sed,1,0.025158476980874478,0.015500683101350887,0.18022122055518786,-0.048850574712643646,-0.05929585105143592,-0.047593789577916684,-0.1383102703401313,-0.053335188127524594,25.411049977726893,-0.21798281251993845
DS005620,alpha,1068,sed2,1,-0.024783592508278163,-0.03303825099757063,0.11626687739561925,0.02329098608590452,-0.04728631304958851,-0.13959895024482505,-0.12794463256406624,-0.04504426751960251,-0.5592377388039633,-0.26733052964681014
DS005620,alpha,1071,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1071,sed,1,-0.03603633063347372,-0.05991631938691455,-0.00395221603919671,-0.12643678160919536,-0.05239606580752698,-0.30175472958635197,0.055248266410163685,-0.03266723731022882,10.068602885760342,-0.07198699845194234
DS005620,alpha,1071,sed2,1,-0.013149811126713762,-0.04509377366942857,-0.11571489294347881,-0.04822790122245657,-0.021685500176394285,-0.3650084849577323,-0.014747767672161391,-0.035026537888142875,3.2016869837342394,-0.1301024113150625
DS005620,alpha,1074,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1074,sed,1,0.025060300660557866,0.04460122226591068,0.12096689738950062,-0.0900383141762453,-0.08924545847692766,-0.06331723368921674,0.04769077138766613,-0.027050249579593594,16.32379817342956,-0.10222321287524405
DS005620,alpha,1074,sed2,1,0.02812335996633336,0.055609070489261114,0.1428161965744259,-0.137527727364388,-0.07864194733825186,-0.07391853450726846,0.036594884976654404,-0.018310406586249186,5.889548401550743,-0.08706950705187988
DS005620,gamma,1010,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,gamma,1010,sed,1,-0.009288230562487731,-0.037993569707730046,-0.10350419838358205,-0.1053639846743295,-0.06992437844230642,0.07557811477135186,0.17760313696506638,-0.0055600332405790764,17.653425349498868,0.05895881041738138
