dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,16,24,baseline,0,spectral_all_plus_gcc,0.1430509477017094
Chennu,alpha,17,24,moderate,1,spectral_all_plus_gcc,0.8734591863280495
Chennu,alpha,18,25,baseline,0,spectral_all_plus_gcc,0.14136625641944123
Chennu,alpha,19,25,moderate,1,spectral_all_plus_gcc,0.9807003088799343
Chennu,alpha,20,26,baseline,0,spectral_all_plus_gcc,0.13065477931873262
Chennu,alpha,21,26,moderate,1,spectral_all_plus_gcc,0.39319862801934957
Chennu,alpha,22,27,baseline,0,spectral_all_plus_gcc,0.1360806611520809
Chennu,alpha,23,27,moderate,1,spectral_all_plus_gcc,0.21696268106955158
Chennu,alpha,24,28,baseline,0,spectral_all_plus_gcc,0.12613790504770095
Chennu,alpha,25,28,moderate,1,spectral_all_plus_gcc,0.22282093768690028
Chennu,alpha,26,29,baseline,0,spectral_all_plus_gcc,0.1443273928234462
Chennu,alpha,27,29,moderate,1,spectral_all_plus_gcc,0.9096941510251403
Chennu,alpha,28,3,baseline,0,spectral_all_plus_gcc,0.14267164976870397
Chennu,alpha,29,3,moderate,1,spectral_all_plus_gcc,0.9921950854856576
Chennu,alpha,30,5,baseline,0,spectral_all_plus_gcc,0.1427975432812725
Chennu,alpha,31,5,moderate,1,spectral_all_plus_gcc,0.9976798676588864
Chennu,alpha,32,6,baseline,0,spectral_all_plus_gcc,0.14210913902743472
Chennu,alpha,33,6,moderate,1,spectral_all_plus_gcc,0.9979161709894798
Chennu,alpha,34,7,baseline,0,spectral_all_plus_gcc,0.14023028752064262
Chennu,alpha,35,7,moderate,1,spectral_all_plus_gcc,0.9994863264742045
Chennu,alpha,36,8,baseline,0,spectral_all_plus_gcc,0.1431214044318987
Chennu,alpha,37,8,moderate,1,spectral_all_plus_gcc,0.9323924129238921
Chennu,alpha,38,9,baseline,0,spectral_all_plus_gcc,0.1310814327027428
Chennu,alpha,39,9,moderate,1,spectral_all_plus_gcc,0.9999902639466479
Chennu,alpha,0,10,baseline,0,residual_pi_after_spectral_all,0.4999962218505535
Chennu,alpha,1,10,moderate,1,residual_pi_after_spectral_all,0.5048782498648204
Chennu,alpha,2,13,baseline,0,residual_pi_after_spectral_all,0.4904714695262376
Chennu,alpha,3,13,moderate,1,residual_pi_after_spectral_all,0.5053541622260087
Chennu,alpha,4,14,baseline,0,residual_pi_after_spectral_all,0.4864113308074647
Chennu,alpha,5,14,moderate,1,residual_pi_after_spectral_all,0.41323758912076286
Chennu,alpha,6,18,baseline,0,residual_pi_after_spectral_all,0.4909745289092121
Chennu,alpha,7,18,moderate,1,residual_pi_after_spectral_all,0.5494844598780642
Chennu,alpha,8,2,baseline,0,residual_pi_after_spectral_all,0.48814418413327954
Chennu,alpha,9,2,moderate,1,residual_pi_after_spectral_all,0.38772593399256877
Chennu,alpha,10,20,baseline,0,residual_pi_after_spectral_all,0.477055770134666
Chennu,alpha,11,20,moderate,1,residual_pi_after_spectral_all,0.9280593363576727
Chennu,alpha,12,22,baseline,0,residual_pi_after_spectral_all,0.49076871471539535
Chennu,alpha,13,22,moderate,1,residual_pi_after_spectral_all,0.5180550015799901
Chennu,alpha,14,23,baseline,0,residual_pi_after_spectral_all,0.4896608686038812
Chennu,alpha,15,23,moderate,1,residual_pi_after_spectral_all,0.3381445913776933
Chennu,alpha,16,24,baseline,0,residual_pi_after_spectral_all,0.49329852874580515
Chennu,alpha,17,24,moderate,1,residual_pi_after_spectral_all,0.5592233212417692
Chennu,alpha,18,25,baseline,0,residual_pi_after_spectral_all,0.4888028612745516
Chennu,alpha,19,25,moderate,1,residual_pi_after_spectral_all,0.40586252441961
Chennu,alpha,20,26,baseline,0,residual_pi_after_spectral_all,0.4844890766385806
Chennu,alpha,21,26,moderate,1,residual_pi_after_spectral_all,0.40553144579573
Chennu,alpha,22,27,baseline,0,residual_pi_after_spectral_all,0.49191570067474366
Chennu,alpha,23,27,moderate,1,residual_pi_after_spectral_all,0.8178267120775325
Chennu,alpha,24,28,baseline,0,residual_pi_after_spectral_all,0.4844428420211873
Chennu,alpha,25,28,moderate,1,residual_pi_after_spectral_all,0.38485834658779283
Chennu,alpha,26,29,baseline,0,residual_pi_after_spectral_all,0.48745273543350537
Chennu,alpha,27,29,moderate,1,residual_pi_after_spectral_all,0.42696182460540427
Chennu,alpha,28,3,baseline,0,residual_pi_after_spectral_all,0.49299816233544186
Chennu,alpha,29,3,moderate,1,residual_pi_after_spectral_all,0.8125954932556833
Chennu,alpha,30,5,baseline,0,residual_pi_after_spectral_all,0.48895862191011813
Chennu,alpha,31,5,moderate,1,residual_pi_after_spectral_all,0.5540850553935023
Chennu,alpha,32,6,baseline,0,residual_pi_after_spectral_all,0.4899752174833879
Chennu,alpha,33,6,moderate,1,residual_pi_after_spectral_all,0.6139239867904086
Chennu,alpha,34,7,baseline,0,residual_pi_after_spectral_all,0.49970564063958006
Chennu,alpha,35,7,moderate,1,residual_pi_after_spectral_all,0.4412034144882397
Chennu,alpha,36,8,baseline,0,residual_pi_after_spectral_all,0.4902405446882381
Chennu,alpha,37,8,moderate,1,residual_pi_after_spectral_all,0.4853096670037183
Chennu,alpha,38,9,baseline,0,residual_pi_after_spectral_all,0.4927667853999262
Chennu,alpha,39,9,moderate,1,residual_pi_after_spectral_all,0.40659638081195243
Chennu,alpha,0,10,baseline,0,residual_gcc_after_spectral_all,0.44527154758260873
Chennu,alpha,1,10,moderate,1,residual_gcc_after_spectral_all,0.21630466853218702
Chennu,alpha,2,13,baseline,0,residual_gcc_after_spectral_all,0.45761919215436053
Chennu,alpha,3,13,moderate,1,residual_gcc_after_spectral_all,0.602463027954609
Chennu,alpha,4,14,baseline,0,residual_gcc_after_spectral_all,0.4510182115735128
Chennu,alpha,5,14,moderate,1,residual_gcc_after_spectral_all,0.48110094880836707
Chennu,alpha,6,18,baseline,0,residual_gcc_after_spectral_all,0.4486675544080097
Chennu,alpha,7,18,moderate,1,residual_gcc_after_spectral_all,0.4312425955560713
Chennu,alpha,8,2,baseline,0,residual_gcc_after_spectral_all,0.44743809974201193
