dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,alpha,7,mild,0.09022401108954767,8.25022339751758,0.002581780175253898,0.8448275862068966,0.6724137931034483,91.0,90.0,58.0
Chennu,alpha,7,moderate,0.09941277939692011,8.591983089890903,0.002844898618307713,0.9482758620689655,0.8448275862068966,91.0,90.0,58.0
Chennu,alpha,7,recovery,0.20782631866176654,5.069487203647774,0.003137512820000482,0.6379310344827585,0.017241379310344827,91.0,90.0,58.0
Chennu,alpha,8,baseline,0.16612333490773726,8.237961872723982,0.004234882543507773,0.8275862068965517,0.6379310344827587,91.0,90.0,58.0
Chennu,alpha,8,mild,0.1795094446597489,6.858895514138455,0.004013727087012587,0.7988505747126436,0.5344827586206896,91.0,90.0,58.0
Chennu,alpha,8,moderate,0.106969817310958,9.16379161288189,0.002730047601013719,0.5057471264367815,0.05172413793103448,91.0,90.0,58.0
Chennu,alpha,8,recovery,0.16749899193711618,7.070632658657283,0.003658379437479041,0.7643678160919539,0.46551724137931033,91.0,90.0,58.0
Chennu,alpha,9,baseline,0.294132889873733,4.214090093435261,0.0033547064149817576,0.8275862068965517,0.6724137931034483,91.0,90.0,58.0
Chennu,alpha,9,mild,0.3049483491427317,4.203372934325939,0.00408144415441821,0.8448275862068966,0.6551724137931034,91.0,90.0,58.0
Chennu,alpha,9,moderate,0.23362544178628755,6.106925739762042,0.0049195025261867,0.4195402298850575,0.05172413793103448,91.0,90.0,58.0
Chennu,alpha,9,recovery,0.28375129155446566,4.411981579549861,0.003694578737978936,0.8563218390804599,0.7241379310344828,91.0,90.0,58.0
Chennu,gamma,10,baseline,0.0806406725449817,13.284537976150848,0.0018322528829098944,0.8275862068965518,0.5517241379310345,91.0,90.0,58.0
Chennu,gamma,10,mild,0.08321777679320717,12.680749352157617,0.002020803188621406,0.7816091954022988,0.5344827586206896,91.0,90.0,58.0
Chennu,gamma,10,moderate,0.08206833649894837,14.030930379453181,0.0022433635375318996,0.8333333333333333,0.5689655172413793,91.0,90.0,58.0
Chennu,gamma,10,recovery,0.09996356322854799,11.443312426183578,0.002766332333114671,0.6379310344827585,0.2413793103448276,91.0,90.0,58.0
Chennu,gamma,13,baseline,0.10218973988277558,13.834254110035902,0.0025717566569540182,0.8275862068965517,0.5862068965517241,91.0,90.0,58.0
Chennu,gamma,13,mild,0.09443960959159944,13.780383386235574,0.002431045118114044,0.7126436781609194,0.43103448275862066,91.0,90.0,58.0
Chennu,gamma,13,moderate,0.08203069944787689,13.505434705779901,0.0019926686688292103,0.32758620689655166,0.0,91.0,90.0,58.0
Chennu,gamma,13,recovery,0.11625843483461308,16.661328287888665,0.005105710018457571,0.3620689655172413,0.0,91.0,90.0,58.0
Chennu,gamma,14,baseline,0.11252963899646926,15.695689854295008,0.003332928831074378,0.8275862068965516,0.5862068965517241,91.0,90.0,58.0
Chennu,gamma,14,mild,0.1109766432677882,15.042163454186731,0.0035822579375605268,0.7471264367816091,0.39655172413793105,91.0,90.0,58.0
Chennu,gamma,14,moderate,0.10205943325424768,13.7154850562483,0.0032715806072797925,0.6091954022988506,0.2413793103448276,91.0,90.0,58.0
Chennu,gamma,14,recovery,0.13834856093008496,14.17151741822474,0.006031675771203143,0.5172413793103449,0.034482758620689655,91.0,90.0,58.0
Chennu,gamma,18,baseline,0.10592071805728603,14.05020636222898,0.003058093861463191,0.8275862068965518,0.603448275862069,91.0,90.0,58.0
Chennu,gamma,18,mild,0.09601816838439908,12.791053746487007,0.00242215813781064,0.48850574712643674,0.22413793103448276,91.0,90.0,58.0
Chennu,gamma,18,moderate,0.08647814360038943,11.963535868052704,0.002278539114648018,0.27011494252873564,0.0,91.0,90.0,58.0
Chennu,gamma,18,recovery,0.0929629590468645,14.915157101918522,0.0025521536242500286,0.5229885057471265,0.1896551724137931,91.0,90.0,58.0
Chennu,gamma,2,baseline,0.10991993099579554,14.302918302263524,0.0030833024910022822,0.8275862068965517,0.5862068965517241,91.0,90.0,58.0
Chennu,gamma,2,mild,0.11319515169025632,11.263809579949834,0.0030372019590580697,0.6379310344827585,0.10344827586206896,91.0,90.0,58.0
Chennu,gamma,2,moderate,0.11509106503425934,11.002804182466836,0.003521673598476353,0.5862068965517241,0.05172413793103448,91.0,90.0,58.0
Chennu,gamma,2,recovery,0.1053379697570786,13.0014965128424,0.0029501514454369415,0.7126436781609196,0.3793103448275862,91.0,90.0,58.0
Chennu,gamma,20,baseline,0.09947793945957956,16.419512100594154,0.0030426713020822015,0.8275862068965516,0.603448275862069,91.0,90.0,58.0
Chennu,gamma,20,mild,0.09434340294289342,14.701951085461852,0.0023953281906966255,0.4827586206896552,0.20689655172413793,91.0,90.0,58.0
Chennu,gamma,20,moderate,0.08063464422199995,14.160119071970083,0.00181796611049338,0.16091954022988506,0.017241379310344827,91.0,90.0,58.0
Chennu,gamma,20,recovery,0.08254874604926857,17.21177119810511,0.0019163506270308047,0.32758620689655166,0.05172413793103448,91.0,90.0,58.0
Chennu,gamma,22,baseline,0.11275578647610786,17.046513175692272,0.0029566667293900585,0.8275862068965517,0.603448275862069,91.0,90.0,58.0
Chennu,gamma,22,mild,0.09459290015186138,15.166730005954792,0.0023962822917276243,0.41954022988505746,0.06896551724137931,91.0,90.0,58.0
Chennu,gamma,22,moderate,0.0879788661103073,13.977550943550423,0.002099214163246512,0.15517241379310345,0.017241379310344827,91.0,90.0,58.0
Chennu,gamma,22,recovery,0.16310217307406322,12.907881575981204,0.005319592807263158,0.37356321839080453,0.017241379310344827,91.0,90.0,58.0
Chennu,gamma,23,baseline,0.09255057171125682,18.78712568035784,0.0021203144835368446,0.8275862068965516,0.5,91.0,90.0,58.0
Chennu,gamma,23,mild,0.09236161204454403,16.54579095686929,0.002158571064055133,0.6724137931034482,0.2413793103448276,91.0,90.0,58.0
Chennu,gamma,23,moderate,0.07835440437168724,14.53684019527343,0.0017116157050766278,0.2126436781609195,0.0,91.0,90.0,58.0
Chennu,gamma,23,recovery,0.14624039268156142,5.579979720247366,0.0025939564316465897,0.48850574712643674,0.0,91.0,90.0,58.0
Chennu,gamma,24,baseline,0.10362415224561633,14.656628156617659,0.0026466311382007607,0.8275862068965517,0.6551724137931034,91.0,90.0,58.0
