dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,3,13,moderate,1,gcc_triad_plus_pi,0.9050141511537875
Chennu,alpha,4,14,baseline,0,gcc_triad_plus_pi,0.2812683547387829
Chennu,alpha,5,14,moderate,1,gcc_triad_plus_pi,0.9113773569420772
Chennu,alpha,6,18,baseline,0,gcc_triad_plus_pi,0.27917528297983124
Chennu,alpha,7,18,moderate,1,gcc_triad_plus_pi,0.8035886545023254
Chennu,alpha,8,2,baseline,0,gcc_triad_plus_pi,0.25520569006169774
Chennu,alpha,9,2,moderate,1,gcc_triad_plus_pi,0.2762590999078043
Chennu,alpha,10,20,baseline,0,gcc_triad_plus_pi,0.26972761239817555
Chennu,alpha,11,20,moderate,1,gcc_triad_plus_pi,0.4168970913856956
Chennu,alpha,12,22,baseline,0,gcc_triad_plus_pi,0.22824513733269772
Chennu,alpha,13,22,moderate,1,gcc_triad_plus_pi,0.04514895544196326
Chennu,alpha,14,23,baseline,0,gcc_triad_plus_pi,0.2780320460102256
Chennu,alpha,15,23,moderate,1,gcc_triad_plus_pi,0.7624658660338195
Chennu,alpha,16,24,baseline,0,gcc_triad_plus_pi,0.28167518926393764
Chennu,alpha,17,24,moderate,1,gcc_triad_plus_pi,0.9638484481860318
Chennu,alpha,18,25,baseline,0,gcc_triad_plus_pi,0.27764169880178263
Chennu,alpha,19,25,moderate,1,gcc_triad_plus_pi,0.7387187122737473
Chennu,alpha,20,26,baseline,0,gcc_triad_plus_pi,0.2712821933197341
Chennu,alpha,21,26,moderate,1,gcc_triad_plus_pi,0.5734744041741416
Chennu,alpha,22,27,baseline,0,gcc_triad_plus_pi,0.278598920870556
Chennu,alpha,23,27,moderate,1,gcc_triad_plus_pi,0.9806464116040234
Chennu,alpha,24,28,baseline,0,gcc_triad_plus_pi,0.27254050534166513
Chennu,alpha,25,28,moderate,1,gcc_triad_plus_pi,0.5852065189125923
Chennu,alpha,26,29,baseline,0,gcc_triad_plus_pi,0.24644080945734975
Chennu,alpha,27,29,moderate,1,gcc_triad_plus_pi,0.17739927782953058
Chennu,alpha,28,3,baseline,0,gcc_triad_plus_pi,0.2752875086688473
Chennu,alpha,29,3,moderate,1,gcc_triad_plus_pi,0.9949158493510347
Chennu,alpha,30,5,baseline,0,gcc_triad_plus_pi,0.2771962855309366
Chennu,alpha,31,5,moderate,1,gcc_triad_plus_pi,0.9925044285373088
Chennu,alpha,32,6,baseline,0,gcc_triad_plus_pi,0.2791621440906957
Chennu,alpha,33,6,moderate,1,gcc_triad_plus_pi,0.8421912838327381
Chennu,alpha,34,7,baseline,0,gcc_triad_plus_pi,0.24256023325142353
Chennu,alpha,35,7,moderate,1,gcc_triad_plus_pi,0.10048761747333393
Chennu,alpha,36,8,baseline,0,gcc_triad_plus_pi,0.28010781153580566
Chennu,alpha,37,8,moderate,1,gcc_triad_plus_pi,0.9848649192069072
Chennu,alpha,38,9,baseline,0,gcc_triad_plus_pi,0.27768842493582446
Chennu,alpha,39,9,moderate,1,gcc_triad_plus_pi,0.8060223473484032
Chennu,alpha,0,10,baseline,0,spectral_all_plus_gcc,0.11773525051552253
Chennu,alpha,1,10,moderate,1,spectral_all_plus_gcc,0.9757837777569084
Chennu,alpha,2,13,baseline,0,spectral_all_plus_gcc,0.11588456584453499
Chennu,alpha,3,13,moderate,1,spectral_all_plus_gcc,0.7769373775728429
Chennu,alpha,4,14,baseline,0,spectral_all_plus_gcc,0.11604783189136886
Chennu,alpha,5,14,moderate,1,spectral_all_plus_gcc,0.8303045136126237
Chennu,alpha,6,18,baseline,0,spectral_all_plus_gcc,0.11587924369909043
Chennu,alpha,7,18,moderate,1,spectral_all_plus_gcc,0.9992063277068601
Chennu,alpha,8,2,baseline,0,spectral_all_plus_gcc,0.11735987764529487
Chennu,alpha,9,2,moderate,1,spectral_all_plus_gcc,0.9637972768129527
Chennu,alpha,10,20,baseline,0,spectral_all_plus_gcc,0.11006163682294458
Chennu,alpha,11,20,moderate,1,spectral_all_plus_gcc,0.9999755542933325
Chennu,alpha,12,22,baseline,0,spectral_all_plus_gcc,0.08801764718884299
Chennu,alpha,13,22,moderate,1,spectral_all_plus_gcc,0.10047885933682606
Chennu,alpha,14,23,baseline,0,spectral_all_plus_gcc,0.11468073064860945
Chennu,alpha,15,23,moderate,1,spectral_all_plus_gcc,0.9993303550550741
Chennu,alpha,16,24,baseline,0,spectral_all_plus_gcc,0.11804993078050494
Chennu,alpha,17,24,moderate,1,spectral_all_plus_gcc,0.9654397555806349
Chennu,alpha,18,25,baseline,0,spectral_all_plus_gcc,0.11630857272581634
Chennu,alpha,19,25,moderate,1,spectral_all_plus_gcc,0.9019071524318057
Chennu,alpha,20,26,baseline,0,spectral_all_plus_gcc,0.11267643105361999
Chennu,alpha,21,26,moderate,1,spectral_all_plus_gcc,0.6650012952650681
Chennu,alpha,22,27,baseline,0,spectral_all_plus_gcc,0.11399913909192144
Chennu,alpha,23,27,moderate,1,spectral_all_plus_gcc,0.7318073666211939
Chennu,alpha,24,28,baseline,0,spectral_all_plus_gcc,0.1088945911492009
Chennu,alpha,25,28,moderate,1,spectral_all_plus_gcc,0.49504136039352026
Chennu,alpha,26,29,baseline,0,spectral_all_plus_gcc,0.11233553925928347
Chennu,alpha,27,29,moderate,1,spectral_all_plus_gcc,0.5829079497653712
Chennu,alpha,28,3,baseline,0,spectral_all_plus_gcc,0.11517800012631157
Chennu,alpha,29,3,moderate,1,spectral_all_plus_gcc,0.994493990721264
Chennu,alpha,30,5,baseline,0,spectral_all_plus_gcc,0.11656150357762589
Chennu,alpha,31,5,moderate,1,spectral_all_plus_gcc,0.9997488282415891
Chennu,alpha,32,6,baseline,0,spectral_all_plus_gcc,0.11820931308979742
Chennu,alpha,33,6,moderate,1,spectral_all_plus_gcc,0.9465123265487368
Chennu,alpha,34,7,baseline,0,spectral_all_plus_gcc,0.11619597402472127
Chennu,alpha,35,7,moderate,1,spectral_all_plus_gcc,0.979682824565526
Chennu,alpha,36,8,baseline,0,spectral_all_plus_gcc,0.11659815203260827
Chennu,alpha,37,8,moderate,1,spectral_all_plus_gcc,0.9544946945645332
Chennu,alpha,38,9,baseline,0,spectral_all_plus_gcc,0.10681833520514786
Chennu,alpha,39,9,moderate,1,spectral_all_plus_gcc,0.9999857981206817
Chennu,alpha,0,10,baseline,0,residual_pi_after_spectral_all,0.44845959100361577
Chennu,alpha,1,10,moderate,1,residual_pi_after_spectral_all,0.9697573607640558
Chennu,alpha,2,13,baseline,0,residual_pi_after_spectral_all,0.42928902397812835
Chennu,alpha,3,13,moderate,1,residual_pi_after_spectral_all,0.6792046181191765
Chennu,alpha,4,14,baseline,0,residual_pi_after_spectral_all,0.43326074653424546
Chennu,alpha,5,14,moderate,1,residual_pi_after_spectral_all,0.7104666903077839
Chennu,alpha,6,18,baseline,0,residual_pi_after_spectral_all,0.4209198206408441
Chennu,alpha,7,18,moderate,1,residual_pi_after_spectral_all,0.378184156971545
Chennu,alpha,8,2,baseline,0,residual_pi_after_spectral_all,0.39848257391456327
Chennu,alpha,9,2,moderate,1,residual_pi_after_spectral_all,0.052009820008556196
