subject,condition,band,filename,n_channels,n_windows,R_wpli_mean,D_eff_mean,M_tau_mean,Pi,Access_all
26,moderate,gamma,26-2010-anest 20100507 132.013.set,91,58,0.14019424849754933,5.2570639989942105,0.0015455599403719914,0.6781609195402298,0.29310344827586204
26,recovery,gamma,26-2010-anest 20100507 132.026.set,91,58,0.1364223815838977,5.601697931882464,0.0016985374616119732,0.7586206896551723,0.41379310344827586
27,baseline,gamma,27-2010-anest 20100823 104.001.set,91,58,0.13954182763945233,6.112912754642956,0.001782980244548731,0.8275862068965517,0.5862068965517241
27,mild,gamma,27-2010-anest 20100823 104.010.set,91,58,0.13499119764947495,6.294997814637695,0.0011163200436352754,0.6436781609195401,0.15517241379310345
27,moderate,gamma,27-2010-anest 20100823 104.023.set,91,58,0.15957813953682567,5.398942150880267,0.001484941895507891,0.6781609195402298,0.29310344827586204
27,recovery,gamma,27-2010-anest 20100823 104.028.set,91,58,0.13606323418436428,6.638911693741585,0.0011429311417406238,0.5,0.08620689655172414
28,baseline,gamma,28-2010-anest 20100824 092.004.set,91,58,0.13971991629496416,5.369101950181249,0.002444312285675715,0.8275862068965517,0.5344827586206896
28,mild,gamma,28-2010-anest 20100824 092.011.set,91,58,0.15472713365374965,5.228035080335334,0.0023327719427729448,0.8563218390804598,0.6206896551724138
28,moderate,gamma,28-2010-anest 20100824 092.016.set,91,58,0.14908234548021448,5.240231599841563,0.002446752575727934,0.8850574712643677,0.6724137931034483
28,recovery,gamma,28-2010-anest 20100824 092.029.set,91,58,0.14332444578337275,6.000854929529737,0.002489984708802614,0.7011494252873562,0.3620689655172414
29,baseline,gamma,29-2010-anest 20100921 142.005.set,91,58,0.14662377508001315,6.425490955607048,0.0015873060590056263,0.8275862068965516,0.5862068965517241
29,mild,gamma,29-2010-anest 20100921 142.010.set,91,58,0.14725578771043668,6.023868974916026,0.0018190225286416882,0.7586206896551724,0.41379310344827586
29,moderate,gamma,29-2010-anest 20100921 142.023.set,91,58,0.14563805824593107,5.358144579685473,0.001959838766214448,0.5862068965517241,0.15517241379310345
29,recovery,gamma,29-2010-anest 20100921 142.028.set,91,58,0.15332717827157863,5.702292240939181,0.0016560052853496902,0.6896551724137931,0.22413793103448276
