dataset,band,subject,condition,y,dR,dD,dlogM,dPi,d_theta_power,d_alpha_power,d_beta_power,d_gamma_power,d_alpha_gamma_ratio,d_spectral_entropy
DS005620,alpha,1024,sed,1,-0.0322777308430514,0.1956967512257459,-0.1733086130769345,-0.3033286451007969,-0.149579309710611,0.1378026628340549,0.0622024289648565,-0.0104984951253566,26.521667503696957,-0.044924189140188
DS005620,alpha,1024,sed2,1,-0.0288174959131559,0.0307079757774491,-0.1471703673434916,-0.2633223941240818,-0.1472341036187029,0.0490822316922649,0.064836830852305,-0.0081435985095117,16.146698543817,-0.0767032572799862
DS005620,alpha,1033,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1033,sed,1,-0.0655072536516872,0.8626209018905446,-0.0408128596082857,-0.3938115330520396,0.0549095218390836,-0.334738310377526,-0.0139499814430359,-0.0124474259320151,11.596190538069909,-0.0075614006497937
DS005620,alpha,1033,sed2,1,-0.0743800438102696,0.756265638211572,-0.140194615542506,-0.4057725365742245,0.0666687579633285,-0.2296552348889109,-0.0062078985821908,-0.0213281042332797,36.77740693186074,0.0402571781098802
DS005620,alpha,1036,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1036,sed,1,-0.0367344416510112,-0.4841866600867432,-0.1804294537371231,-0.250323488045007,-0.1786105748374751,0.1503465231585836,-0.0116269752477226,-0.0106452727050399,59.60334643304184,-0.0783885615972803
DS005620,alpha,1036,sed2,1,-0.0365369162911941,-0.038583528769033,0.0195400040048756,-0.3668361643045186,-0.1946656332689016,-0.0665007023675845,-0.05640963037191,-0.0102647813381939,8.943061086784324,-0.2381160724666088
DS005620,alpha,1037,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1045,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1045,sed,1,-0.0729956086419125,0.5240301643201231,-0.0445744537580314,-0.3614627285513361,-0.1165066419348649,-0.0988804861922381,0.028473028727389,-0.0088184613047095,26.77376147204712,-0.0082941810392499
DS005620,alpha,1045,sed2,1,-0.0693747157363033,0.388523707853535,-0.0445931801957351,-0.3165037806388016,-0.1173724543876675,-0.1732459110735915,0.0160847949837334,0.0009277925623009,15.547945693041443,-0.0478253589565618
DS005620,alpha,1046,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1046,sed,1,-0.0242513331376586,0.3502621081879482,0.3635686753167513,-0.170182841068917,0.0083024243761102,-0.3091205744076122,-0.0108114023819439,-0.0013092710058074,16.888434702593116,-0.0101150063062801
DS005620,alpha,1046,sed2,1,-0.0364107072776611,0.0836601630984308,-0.019151130963817,-0.0776623751307293,0.0149758717806042,-0.1833909095297911,-0.0190183184817524,-0.0069044645955359,46.84764185782028,0.0245326663586172
DS005620,alpha,1054,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1054,sed,1,-0.0170931432008522,-0.3942256638793284,-0.105939071356051,-0.1181434599156118,-0.1127777487198919,0.0304474781269696,-0.0249503930747938,-0.0308571670984817,54.479064154302215,-0.0846444706781602
DS005620,alpha,1054,sed2,1,-0.0037398343590658,-0.4356558331077291,-0.0647746276132883,-0.0206823181506724,-0.1285189196277265,-0.0217217919227266,-0.0247124161887715,-0.0314506625026779,49.80840725474921,-0.1313795378362831
DS005620,alpha,1055,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
