dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,39,29,moderate,1,spectral_all_plus_gcc,0.7669255528240443
Chennu,alpha,0,2,baseline,0,residual_pi_after_spectral_all,0.49746314204273046
Chennu,alpha,1,2,moderate,1,residual_pi_after_spectral_all,0.6459578310684405
Chennu,alpha,2,3,baseline,0,residual_pi_after_spectral_all,0.49605368737052175
Chennu,alpha,3,3,moderate,1,residual_pi_after_spectral_all,0.48533051299293795
Chennu,alpha,4,5,baseline,0,residual_pi_after_spectral_all,0.49652562820718726
Chennu,alpha,5,5,moderate,1,residual_pi_after_spectral_all,0.4961574029457942
Chennu,alpha,6,6,baseline,0,residual_pi_after_spectral_all,0.49834773399981236
Chennu,alpha,7,6,moderate,1,residual_pi_after_spectral_all,0.5294931495069229
Chennu,alpha,8,7,baseline,0,residual_pi_after_spectral_all,0.49616206013484665
Chennu,alpha,9,7,moderate,1,residual_pi_after_spectral_all,0.22943051308523388
Chennu,alpha,10,8,baseline,0,residual_pi_after_spectral_all,0.4955580624442637
Chennu,alpha,11,8,moderate,1,residual_pi_after_spectral_all,0.4734457156793153
Chennu,alpha,12,9,baseline,0,residual_pi_after_spectral_all,0.5
Chennu,alpha,13,9,moderate,1,residual_pi_after_spectral_all,0.5
Chennu,alpha,14,10,baseline,0,residual_pi_after_spectral_all,0.4986131529177606
Chennu,alpha,15,10,moderate,1,residual_pi_after_spectral_all,0.5237640121399535
Chennu,alpha,16,13,baseline,0,residual_pi_after_spectral_all,0.4949483380410046
Chennu,alpha,17,13,moderate,1,residual_pi_after_spectral_all,0.4708563369872327
Chennu,alpha,18,14,baseline,0,residual_pi_after_spectral_all,0.4980838697987732
Chennu,alpha,19,14,moderate,1,residual_pi_after_spectral_all,0.5204281730343229
Chennu,alpha,20,18,baseline,0,residual_pi_after_spectral_all,0.49710857239590023
Chennu,alpha,21,18,moderate,1,residual_pi_after_spectral_all,0.43386876766778465
Chennu,alpha,22,20,baseline,0,residual_pi_after_spectral_all,0.4789103829923818
Chennu,alpha,23,20,moderate,1,residual_pi_after_spectral_all,0.9173527376593655
Chennu,alpha,24,22,baseline,0,residual_pi_after_spectral_all,0.49714418279059436
