dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,alpha,22,baseline,0.3607062709629347,11.872708410385066,0.024865905035864562,0.8275862068965516,0.5689655172413793,20.0,90.0,58.0
Chennu,alpha,22,mild,0.344928323103145,11.339722597466729,0.0249528049545166,0.660919540229885,0.25862068965517243,20.0,90.0,58.0
Chennu,alpha,22,moderate,0.42834983877598465,11.014114113050782,0.028453302777735685,0.7126436781609194,0.3448275862068966,20.0,90.0,58.0
Chennu,alpha,22,recovery,0.4243669773752057,9.303819465505118,0.025240113044482253,0.6839080459770114,0.22413793103448276,20.0,90.0,58.0
Chennu,alpha,23,baseline,0.4362364341531483,8.626193263461271,0.02453511495859347,0.8275862068965517,0.603448275862069,20.0,90.0,58.0
Chennu,alpha,23,mild,0.4595723307329467,7.23894878958066,0.025313500706157895,0.8678160919540229,0.6551724137931034,20.0,90.0,58.0
Chennu,alpha,23,moderate,0.44788980089317176,8.873194304866821,0.0242148354236512,0.8448275862068965,0.603448275862069,20.0,90.0,58.0
Chennu,alpha,23,recovery,0.49996330522721866,6.975304550152192,0.023827010106006564,0.8218390804597702,0.5689655172413793,20.0,90.0,58.0
Chennu,alpha,24,baseline,0.4302998624421249,10.035740942287221,0.024055244781870096,0.8275862068965516,0.603448275862069,20.0,90.0,58.0
Chennu,alpha,24,mild,0.43095208143175795,7.888903029863254,0.02483864955688407,0.793103448275862,0.4482758620689655,20.0,90.0,58.0
Chennu,alpha,24,moderate,0.5033805225479481,7.033490536211796,0.023255644692892437,0.6494252873563219,0.27586206896551724,20.0,90.0,58.0
Chennu,alpha,24,recovery,0.3964569481568909,10.054508009843062,0.02491956976074756,0.867816091954023,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,25,baseline,0.34246731202798675,12.98861655707049,0.02118644652808766,0.8275862068965516,0.5862068965517241,20.0,90.0,58.0
Chennu,alpha,25,mild,0.3517047364624795,12.909118313716663,0.022542807124654136,0.8735632183908045,0.6551724137931034,20.0,90.0,58.0
Chennu,alpha,25,moderate,0.34456769633434664,12.556664890652693,0.02413610651716703,0.8735632183908045,0.6551724137931034,20.0,90.0,58.0
Chennu,alpha,25,recovery,0.3817130072933601,12.08819990017757,0.025601733137956693,0.8678160919540229,0.6896551724137931,20.0,90.0,58.0
Chennu,alpha,26,baseline,0.43332505896872225,10.025093141614697,0.02575451788951013,0.8275862068965517,0.603448275862069,20.0,90.0,58.0
Chennu,alpha,26,mild,0.443131220093259,9.65968002526655,0.027250284565862357,0.7528735632183907,0.46551724137931033,20.0,90.0,58.0
Chennu,alpha,26,moderate,0.4293168379780604,10.639954036922104,0.02878523431981646,0.6839080459770114,0.3620689655172414,20.0,90.0,58.0
Chennu,alpha,26,recovery,0.44930620158054535,9.203154402800953,0.0262892355308906,0.8218390804597702,0.5862068965517241,20.0,90.0,58.0
Chennu,alpha,27,baseline,0.5437407456851665,7.64223663806986,0.03218342588519989,0.8275862068965517,0.5517241379310345,20.0,90.0,58.0
Chennu,alpha,27,mild,0.5311462475867409,8.103037226948938,0.02908564558210996,0.8793103448275862,0.6724137931034483,20.0,90.0,58.0
Chennu,alpha,27,moderate,0.36805959311632036,13.038015911374497,0.024699887317174048,0.3448275862068966,0.05172413793103448,20.0,90.0,58.0
Chennu,alpha,27,recovery,0.5687407047086106,7.322068597994059,0.02621052726546095,0.6666666666666667,0.3103448275862069,20.0,90.0,58.0
Chennu,alpha,28,baseline,0.4083930461100571,10.443468037533426,0.029483155197006988,0.8275862068965516,0.5172413793103449,20.0,90.0,58.0
